ID	KO1	KO2	KO3	WT1	WT2	WT3
1416042_s_at	3882.3	5122.7	4198.6	5006.7	5803	5538.4
1416043_at	218.1	223.3	230.1	504	249.8	464.6
1416044_at	4803.4	5011.9	5544.3	5004.2	4609.1	4752.7
1416045_a_at	5422.8	5396.7	5507	4947.6	5184.3	4778.3
1416046_a_at	2759.8	2625.5	3296.4	1962.4	2434.9	2572.6
1416047_at	14.8	244.2	12.1	20.9	64.7	19.4
1416048_at	4897.6	4393.3	5003.3	3682.6	4173.5	4042.7
1416049_at	657.1	1171.4	660.4	370.5	271.3	525.8
1416050_a_at	3523.7	3782.8	3936.8	4146.4	4444.6	5066.8
1416051_at	519.2	732	641.2	829.7	646.1	661
1416052_at	2315.3	2011.4	2077.4	1489	1412.2	1768.8
1416053_at	1469.6	1523.9	1403.5	1679.3	2231.4	2334.9
1416054_at	84919.4	94052.1	79813.3	82058.7	78275.7	76772.3
1416055_at	55.3	32.1	32.9	38.3	130.8	112
1416056_a_at	27831.1	30158.5	28731.4	27193.2	31627	27705.6
1416057_at	19911.4	22222.3	22371.7	22299.9	20124	19258.4
1416058_s_at	31284.5	33204.4	34848.3	37031.8	35562.1	35413.3
1416059_at	4944.7	5961.7	4928.9	5926.9	3901.6	4666.2
1416060_at	4990.3	5309.3	5920	3820.4	5954.5	6619.3
1416061_at	3059.1	3449.1	3364.5	3196.2	3033	3982
1416062_at	589.6	1091.9	493.6	1213.9	872.8	1062.7
1416063_x_at	69.1	28.2	51.1	9	15.5	7.1
1416064_a_at	33205.8	35610.9	33962.1	32743.7	36897	34394
1416065_a_at	4381.4	4425.5	5019.2	3943.9	4923.2	6334.1
1416066_at	18730.6	18473.7	16901.7	14175.6	12095.4	11421.1
1416067_at	2569	2603.1	2800.5	7238.4	6963.9	6296.8
1416068_at	8559.2	9132.1	9134.5	8769.5	8484.6	8133.3
1416069_at	8536.7	9055.3	7552.7	4175.2	3660	4299
1416070_a_at	1839.8	2621.5	2238.6	1734	1896.5	1908.3
1416071_at	3560.2	3939.6	3633.4	3337.3	3013.7	2632.6
